PrintISSN,EISSN,Title,Titles discontinued by Scopus due to quality issues
731129,,Proceedings of the Hawaii International Conference on System Science,
10711813,,Proceedings of the Human Factors and Ergonomics Society,
,,Proceedings of the IADC/SPE Asia Pacific Drilling Technology Conference and Exhibition,
,,Proceedings of the IASTED International Conference on Biomedical Engineering,
,,"Proceedings of the IASTED International Conference on Circuits, Signals, and Systems",
16826221,,Proceedings of the IASTED International Conference on Intelligent Systems and Control,
,,Proceedings of the IASTED International Conference on Internet and Multimedia Systems and Applications,
10218181,,Proceedings of the IASTED International Conference on Modelling and Simulation,
10258973,22935126,"Proceedings of the IASTED International Conference on Modelling, Identification, and Control, MIC",
,,Proceedings of the IASTED International Conference on Neural Networks and Computational Intelligence,
10272658,,Proceedings of the IASTED International Conference on Parallel and Distributed Computing and Systems,
1027264X,,Proceedings of the IASTED International Conference on Robotics and Applications,
2724715,,Proceedings of the IEEE Annual Simulation Symposium,
,,Proceedings of the IEEE Bipolar/BiCMOS Circuits and Technology Meeting,
10636919,,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,
10637109,,Proceedings of the IEEE Computer Society Symposium on Research in Security and Privacy,
10851992,,Proceedings of the IEEE Conference on Control Applications,
7431546,25762370,Proceedings of the IEEE Conference on Decision and Control,
10661395,,Proceedings of the IEEE Great Lakes Symposium on VLSI,
,,Proceedings of the IEEE International Conference on Computer Vision,
,,"Proceedings of the IEEE International Conference on Engineering of Complex Computer Systems, ICECCS",
,,Proceedings of the IEEE International Conference on Industrial Technology,
10846999,,Proceedings of the IEEE International Conference on Micro Electro Mechanical Systems (MEMS),
,,Proceedings of the IEEE International Conference on Properties and Applications of Dielectric Materials,
8843627,,"Proceedings of the IEEE International Conference on Systems, Man and Cybernetics",
,,"Proceedings of the IEEE International Conference on Transmission and Distribution Construction and Live Line Maintenance, ESMO",
10639667,,Proceedings of the IEEE International Conference on VLSI Design,
,,"Proceedings of the IEEE International Symposium on Consumer Electronics, ISCE",
,,Proceedings of the IEEE International Workshop on Research Issues in Data Engineering,
,,Proceedings of the IEEE Micro Electro Mechanical Systems (MEMS),
,,Proceedings of the IEEE Particle Accelerator Conference,
21608555,21608563,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,
,,Proceedings of the IEEE Southwest Symposium on Image Analysis and Interpretation,
10637125,,Proceedings of the IEEE Symposium on Computer-Based Medical Systems,
10609857,,Proceedings of the IEEE Symposium on Reliable Distributed Systems,
10510117,,Proceedings of the IEEE Ultrasonics Symposium,
,,Proceedings of the IEEE Visualization Conference,
,,Proceedings of the IEEE VLSI Test Symposium,
,,Proceedings of the IEEE Working Conference on Current Measurement,
,,Proceedings of the IEEE/ASME Joint Railroad Conference,
10898190,,Proceedings of the IEEE/CPMT International Electronics Manufacturing Technology (IEMT) Symposium,
10939547,,Proceedings of the Information Visualization Conference,
21998981,2199899X,Proceedings of the International Association of Hydrological Sciences,
741795,,"Proceedings of the International Astronautical Congress, IAC",
,20021593,Proceedings of the International CDIO Conference,
23675578,23675675,Proceedings of the International Conference Computational Linguistics in Bulgaria,
,22093850,Proceedings of the International Conference of Architectural Science Association,
,,Proceedings of the International Conference on Applications of Advanced Technologies in Transportation Engineering,
,,"Proceedings of the International Conference on Artificial Intelligence, IC-AI'04",
,,Proceedings of the International Conference on Dependable Systems and Networks,
26841843,,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,
,,"Proceedings of the International Conference on Embedded Systems and Applications ESA'04 - Proceedings of the International Conference on VLSI, VLSI'04",
,,Proceedings of the International Conference on Estuarine and Coastal Modeling,
,25162810,Proceedings of the International Conference on Gender Research,
,,"Proceedings of the International Conference on Imaging Science, Systems and Technology, CISST'04",
,,"Proceedings of the International Conference on Information and Knowledge Engineering , IKE'04",
,,Proceedings of the International Conference on Mathematics and Engineering Techniques in Medicine and Biological Sciences,
,,Proceedings of the International Conference on Microelectronics,
,,"Proceedings of the International Conference on Microelectronics, ICM",
22088288,22088296,Proceedings of the International Conference on Mine Closure,
26234513,,Proceedings of the International Conference on Natural Hazards and Infrastructure,
22204792,22204806,Proceedings of the International Conference on New Interfaces for Musical Expression,
,,Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,
,,Proceedings of the International Conference on Parallel and Distributed Processing Techniques and Applications,
,,Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS,
,,"Proceedings of the International Conference on Radioactive Waste Management and Environmental Remediation, ICEM",
,,Proceedings of the International Conference on Security and Management,
,,"Proceedings of the International Conference on Software Engineering Research and Practice, SERP'04",
,,Proceedings of the International Conference on Supercomputing,
10636730,,Proceedings of the International Conference on Tools with Artificial Intelligence,
,25163612,Proceedings of the International Conference on Tourism Research,
18448933,29719291,Proceedings of the International Conference on Virtual Learning,
,,Proceedings of the International Conference on Wireless Networks,
10988068,,"Proceedings of the International Database Engineering and Applications Symposium, IDEAS",
15588041,,Proceedings of the International Instrumentation Symposium,
,,Proceedings of the International Joint Conference on Neural Networks,
,,Proceedings of the International Offshore and Polar Engineering Conference,
,,"Proceedings of the International Pipeline Conference, IPC",
,,"Proceedings of the International Semiconductor Conference, CAS",
,26318741,Proceedings of the International Ship Control Systems Symposium,
,,"Proceedings of the International Symposium and Exhibition on Advanced Packaging Materials Processes, Properties and Interfaces",
,24135844,Proceedings of the International Symposium on Automation and Robotics in Construction,
,,Proceedings of the International Symposium on Corrosion in the Pulp and Paper Industry,
,,Proceedings of the International Symposium on Mobile Ad Hoc Networking and Computing (MobiHoc),
0195623X,,Proceedings of The International Symposium on Multiple-Valued Logic,
10874089,,"Proceedings of the International Symposium on Parallel Architectures, Algorithms and Networks, I-SPAN",
,,Proceedings of the International Symposium on Physical Design,
,,"Proceedings of the International Symposium on Symbolic and Algebraic Computation, ISSAC",
,,Proceedings of the International Symposium on Test and Measurement,
,,Proceedings of the International Thermal Spray Conference,
,,"Proceedings of the International Workshop on High-Level Programming Models and Supportive Environments, HIPS",
,,Proceedings of the International Workshop on Network and Operating System Support for Digital Audio and Video,
